filename,width,height,class,xmin,xmax,ymin,ymax
dmm_0.png,300,300,fongibra-dithering,97,55,186,144
dmm_0.png,300,300,bulbus-dithering,122,39,212,129
dmm_0.png,300,300,diplopoda-dithering,91,135,183,226
dmm_1.png,300,300,bulbus-dithering,28,8,126,106
dmm_1.png,300,300,bulbus-dithering,67,40,147,120
dmm_1.png,300,300,bulbus-dithering,71,64,170,163
dmm_2.png,300,300,diplopoda-dithering,149,131,245,227
dmm_2.png,300,300,diplopoda-dithering,79,124,170,214
dmm_2.png,300,300,diplopoda-dithering,1,20,93,112
dmm_3.png,300,300,fongibra-dithering,79,55,178,154
dmm_3.png,300,300,fongibra-dithering,146,55,239,148
dmm_3.png,300,300,diplopoda-dithering,66,28,161,124
dmm_4.png,300,300,quadripus-dithering,4,116,103,215
dmm_4.png,300,300,quadripus-dithering,22,85,117,179
dmm_4.png,300,300,fongibra-dithering,4,72,88,156
dmm_5.png,300,300,fongibra-dithering,154,91,250,187
dmm_5.png,300,300,quadripus-dithering,26,65,123,162
dmm_5.png,300,300,diplopoda-dithering,14,105,109,200
dmm_6.png,300,300,fongibra-dithering,101,70,184,153
dmm_6.png,300,300,diplopoda-dithering,168,114,238,184
dmm_6.png,300,300,bulbus-dithering,29,138,101,210
dmm_7.png,300,300,bulbus-dithering,54,127,149,222
dmm_7.png,300,300,diplopoda-dithering,136,60,225,150
dmm_7.png,300,300,fongibra-dithering,209,47,292,129
dmm_8.png,300,300,bulbus-dithering,187,30,286,129
dmm_8.png,300,300,quadripus-dithering,121,98,220,197
dmm_8.png,300,300,quadripus-dithering,22,49,110,137
dmm_9.png,300,300,bulbus-dithering,166,61,252,147
dmm_9.png,300,300,diplopoda-dithering,105,138,204,237
dmm_9.png,300,300,diplopoda-dithering,119,56,205,142
dmm_10.png,300,300,diplopoda-dithering,131,40,211,121
dmm_10.png,300,300,diplopoda-dithering,179,190,278,289
dmm_10.png,300,300,diplopoda-dithering,55,152,132,229
dmm_11.png,300,300,bulbus-dithering,62,38,160,136
dmm_11.png,300,300,bulbus-dithering,125,138,204,218
dmm_11.png,300,300,diplopoda-dithering,37,58,135,157
dmm_12.png,300,300,diplopoda-dithering,64,78,148,163
dmm_12.png,300,300,diplopoda-dithering,46,6,144,104
dmm_12.png,300,300,bulbus-dithering,104,99,177,172
dmm_13.png,300,300,quadripus-dithering,123,83,208,168
dmm_13.png,300,300,quadripus-dithering,173,95,246,168
dmm_13.png,300,300,quadripus-dithering,108,45,207,144
dmm_14.png,300,300,diplopoda-dithering,30,155,125,250
dmm_14.png,300,300,bulbus-dithering,165,22,264,120
dmm_14.png,300,300,quadripus-dithering,188,59,281,152
dmm_15.png,300,300,bulbus-dithering,64,1,152,89
dmm_15.png,300,300,fongibra-dithering,8,141,83,216
